community_id,method,step_index,step_order,target_window_label,n_users,F,L,Q,baseline_window,baseline_F,baseline_L,baseline_Q,aggregate
0,static_s0,0,0,W1,100,0.37326518,0.1803779213,0.2961102765,W1,0.37326518,0.1803779213,0.2961102765,mean
0,static_s0,1,1,W2,100,0.3073256889,0.1722067361,0.2532781078,W1,0.37326518,0.1803779213,0.2961102765,mean
0,static_s0,2,2,W3,100,0.2822916188,0.179387694,0.2411300489,W1,0.37326518,0.1803779213,0.2961102765,mean
0,static_s0,3,3,W4,100,0.3428418449,0.1829147546,0.2788710088,W1,0.37326518,0.1803779213,0.2961102765,mean
0,static_s0,4,4,W5,100,0.3492258465,0.1812369319,0.2820302807,W1,0.37326518,0.1803779213,0.2961102765,mean
0,prefix_refresh,0,0,W1,100,0.3581851873,0.179273798,0.2866206316,W1,0.3581851873,0.179273798,0.2866206316,mean
0,prefix_refresh,1,1,W2,100,0.3181860833,0.1752458824,0.2610100029,W1,0.3581851873,0.179273798,0.2866206316,mean
0,prefix_refresh,2,2,W3,100,0.2904595292,0.1801732347,0.2463450114,W1,0.3581851873,0.179273798,0.2866206316,mean
0,prefix_refresh,3,3,W4,100,0.3576457657,0.1730379338,0.2838026329,W1,0.3581851873,0.179273798,0.2866206316,mean
0,prefix_refresh,4,4,W5,100,0.3502403732,0.1807365514,0.2824388445,W1,0.3581851873,0.179273798,0.2866206316,mean
0,history_only,0,0,W1,100,0.3458588919,0.1377680278,0.2626225462,W1,0.3458588919,0.1377680278,0.2626225462,mean
0,history_only,1,1,W2,100,0.3543090144,0.1236299853,0.2620374027,W1,0.3458588919,0.1377680278,0.2626225462,mean
0,history_only,2,2,W3,100,0.3167418622,0.1214213449,0.2386136553,W1,0.3458588919,0.1377680278,0.2626225462,mean
0,history_only,3,3,W4,100,0.3341471512,0.1179259497,0.2476586706,W1,0.3458588919,0.1377680278,0.2626225462,mean
0,history_only,4,4,W5,100,0.3316206684,0.1236201181,0.2484204483,W1,0.3458588919,0.1377680278,0.2626225462,mean
0,incremental_persona,0,0,W1,100,0.3633199858,0.1766806533,0.2886642528,W1,0.3633199858,0.1766806533,0.2886642528,mean
0,incremental_persona,1,1,W2,100,0.3125477126,0.1911999966,0.2640086262,W1,0.3633199858,0.1766806533,0.2886642528,mean
0,incremental_persona,2,2,W3,100,0.2864777324,0.1875777488,0.246917739,W1,0.3633199858,0.1766806533,0.2886642528,mean
0,incremental_persona,3,3,W4,100,0.3459835699,0.1874127833,0.2825552552,W1,0.3633199858,0.1766806533,0.2886642528,mean
0,incremental_persona,4,4,W5,100,0.3431743506,0.1933545789,0.2832464419,W1,0.3633199858,0.1766806533,0.2886642528,mean
0,clasp_online,0,0,W1,100,0.4659347407,0.1800678863,0.351587999,W1,0.4659347407,0.1800678863,0.351587999,mean
0,clasp_online,1,1,W2,100,0.4386753794,0.1881288929,0.3684567848,W1,0.4659347407,0.1800678863,0.351587999,mean
0,clasp_online,2,2,W3,100,0.4396585415,0.1674425953,0.360772163,W1,0.4659347407,0.1800678863,0.351587999,mean
0,clasp_online,3,3,W4,100,0.434328575,0.1711812916,0.3490696616,W1,0.4659347407,0.1800678863,0.351587999,mean
0,clasp_online,4,4,W5,100,0.457859785,0.1758006414,0.3450361276,W1,0.4659347407,0.1800678863,0.351587999,mean
1,static_s0,0,0,W1,100,0.3756114837,0.2030011456,0.3065673485,W1,0.3756114837,0.2030011456,0.3065673485,mean
1,static_s0,1,1,W2,100,0.3533540241,0.2063263655,0.2945429607,W1,0.3756114837,0.2030011456,0.3065673485,mean
1,static_s0,2,2,W3,100,0.2624589487,0.1878390645,0.232610995,W1,0.3756114837,0.2030011456,0.3065673485,mean
1,static_s0,3,3,W4,100,0.3368856574,0.1933306038,0.279463636,W1,0.3756114837,0.2030011456,0.3065673485,mean
1,static_s0,4,4,W5,100,0.3697182773,0.197116904,0.300677728,W1,0.3756114837,0.2030011456,0.3065673485,mean
1,prefix_refresh,0,0,W1,100,0.3740498529,0.20555369,0.3066513877,W1,0.3740498529,0.20555369,0.3066513877,mean
1,prefix_refresh,1,1,W2,100,0.3453304392,0.2015124079,0.2878032267,W1,0.3740498529,0.20555369,0.3066513877,mean
1,prefix_refresh,2,2,W3,100,0.2620312263,0.1927512084,0.2343192191,W1,0.3740498529,0.20555369,0.3066513877,mean
1,prefix_refresh,3,3,W4,100,0.3481198367,0.1938401648,0.2864079679,W1,0.3740498529,0.20555369,0.3066513877,mean
1,prefix_refresh,4,4,W5,100,0.3667249799,0.1990469872,0.2996537828,W1,0.3740498529,0.20555369,0.3066513877,mean
1,history_only,0,0,W1,100,0.35558872,0.1734379668,0.2827284187,W1,0.35558872,0.1734379668,0.2827284187,mean
1,history_only,1,1,W2,100,0.3580141545,0.1776121544,0.2858533544,W1,0.35558872,0.1734379668,0.2827284187,mean
1,history_only,2,2,W3,100,0.2971924596,0.1606963971,0.2425940346,W1,0.35558872,0.1734379668,0.2827284187,mean
1,history_only,3,3,W4,100,0.3285957927,0.1648981391,0.2631167313,W1,0.35558872,0.1734379668,0.2827284187,mean
1,history_only,4,4,W5,100,0.3614610045,0.1649983949,0.2828759607,W1,0.35558872,0.1734379668,0.2827284187,mean
1,incremental_persona,0,0,W1,100,0.3719348964,0.2122437704,0.308058446,W1,0.3719348964,0.2122437704,0.308058446,mean
1,incremental_persona,1,1,W2,100,0.3500431913,0.2111764236,0.2944964842,W1,0.3719348964,0.2122437704,0.308058446,mean
1,incremental_persona,2,2,W3,100,0.2592789699,0.2076918578,0.238644125,W1,0.3719348964,0.2122437704,0.308058446,mean
1,incremental_persona,3,3,W4,100,0.3397795077,0.1897847227,0.2797815937,W1,0.3719348964,0.2122437704,0.308058446,mean
1,incremental_persona,4,4,W5,100,0.3596182144,0.1973039895,0.2946925245,W1,0.3719348964,0.2122437704,0.308058446,mean
1,clasp_online,0,0,W1,100,0.4632713097,0.2169443303,0.354740518,W1,0.4632713097,0.2169443303,0.364740518,mean
1,clasp_online,1,1,W2,100,0.4773585921,0.2189183128,0.3739824804,W1,0.4632713097,0.2169443303,0.364740518,mean
1,clasp_online,2,2,W3,100,0.4610448746,0.2145512134,0.3524474101,W1,0.4632713097,0.2169443303,0.364740518,mean
1,clasp_online,3,3,W4,100,0.4307183392,0.225608264,0.3486743091,W1,0.4632713097,0.2169443303,0.364740518,mean
1,clasp_online,4,4,W5,100,0.472305369,0.2091104262,0.3670273919,W1,0.4632713097,0.2169443303,0.364740518,mean
3,static_s0,0,0,W1,100,0.3586463194,0.2030235913,0.2963972281,W1,0.3586463194,0.2030235913,0.2963972281,mean
3,static_s0,1,1,W2,100,0.348920435,0.2082600556,0.2926562832,W1,0.3586463194,0.2030235913,0.2963972281,mean
3,static_s0,2,2,W3,100,0.297334267,0.2059820184,0.2607933676,W1,0.3586463194,0.2030235913,0.2963972281,mean
3,static_s0,3,3,W4,100,0.2954832395,0.195921931,0.2556587161,W1,0.3586463194,0.2030235913,0.2963972281,mean
3,static_s0,4,4,W5,100,0.3671007457,0.2110813277,0.3046929785,W1,0.3586463194,0.2030235913,0.2963972281,mean
3,prefix_refresh,0,0,W1,100,0.3610311455,0.1953649257,0.2947646576,W1,0.3610311455,0.1953649257,0.2947646576,mean
3,prefix_refresh,1,1,W2,100,0.345225871,0.2171575913,0.2939985592,W1,0.3610311455,0.1953649257,0.2947646576,mean
3,prefix_refresh,2,2,W3,100,0.2901991747,0.2044447332,0.2558973981,W1,0.3610311455,0.1953649257,0.2947646576,mean
3,prefix_refresh,3,3,W4,100,0.2875140949,0.1826499352,0.245568431,W1,0.3610311455,0.1953649257,0.2947646576,mean
3,prefix_refresh,4,4,W5,100,0.3605686885,0.2071887751,0.2992167231,W1,0.3610311455,0.1953649257,0.2947646576,mean
3,history_only,0,0,W1,100,0.3490274835,0.1691268838,0.2770672436,W1,0.3490274835,0.1691268838,0.2770672436,mean
3,history_only,1,1,W2,100,0.3660628236,0.1681469985,0.2868964936,W1,0.3490274835,0.1691268838,0.2770672436,mean
3,history_only,2,2,W3,100,0.3346065777,0.160689228,0.2650396378,W1,0.3490274835,0.1691268838,0.2770672436,mean
3,history_only,3,3,W4,100,0.2801834259,0.1391321561,0.223762918,W1,0.3490274835,0.1691268838,0.2770672436,mean
3,history_only,4,4,W5,100,0.3637693269,0.1768618314,0.2890063287,W1,0.3490274835,0.1691268838,0.2770672436,mean
3,incremental_persona,0,0,W1,100,0.3554730852,0.1980444929,0.2925016483,W1,0.3554730852,0.1980444929,0.2925016483,mean
3,incremental_persona,1,1,W2,100,0.3412571876,0.2223586149,0.2936977585,W1,0.3554730852,0.1980444929,0.2925016483,mean
3,incremental_persona,2,2,W3,100,0.2931878365,0.2082396736,0.2592085713,W1,0.3554730852,0.1980444929,0.2925016483,mean
3,incremental_persona,3,3,W4,100,0.2728024985,0.1981460437,0.2429399166,W1,0.3554730852,0.1980444929,0.2925016483,mean
3,incremental_persona,4,4,W5,100,0.3654830743,0.2188849251,0.3068438146,W1,0.3554730852,0.1980444929,0.2925016483,mean
3,clasp_online,0,0,W1,100,0.4827314065,0.2257297474,0.3659307429,W1,0.4827314065,0.2257297474,0.3799307429,mean
3,clasp_online,1,1,W2,100,0.4856600625,0.2268197412,0.372123934,W1,0.4827314065,0.2257297474,0.3799307429,mean
3,clasp_online,2,2,W3,100,0.5129770355,0.2120580825,0.3926094543,W1,0.4827314065,0.2257297474,0.3799307429,mean
3,clasp_online,3,3,W4,100,0.4469040646,0.1973496745,0.3670823085,W1,0.4827314065,0.2257297474,0.3799307429,mean
3,clasp_online,4,4,W5,100,0.4803159674,0.2217934845,0.3769069742,W1,0.4827314065,0.2257297474,0.3799307429,mean
4,static_s0,0,0,W1,100,0.3617540257,0.1705616613,0.2852770799,W1,0.3617540257,0.1705616613,0.2852770799,mean
